NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      50 0411,58,Tehachapi,Kern,'MILL STREET DRAIN,'STATE HWY 58,'06-KER-058-R91.46-THPI,1970,0,15,78.2,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",53136
      50 0412Y,58,Tehachapi,Kern,'MILL STREET DRAIN,'MILL STREET,'06-KER-058-R91.68-THPI,1970,0,13,83,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",53137
      50 0486,202,Tehachapi,Kern,'UP RR BNSF TEHACHAPI CR,'STATE ROUTE 202,'06-KER-202-R9.59-THPI,2002,0,147,92.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",53169
      50C0026L,,Shafter,Kern,'CALLOWAY CANAL,'LERDO HIGHWAY WB,'0.9 MI E CHERRY AVE,1954,0,23,73.5,Concrete,Culvert (includes frame culverts),,"Major Collector, Rural",53218
      50C0026R,,Shafter,Kern,'CALLOWAY CANAL,'LERDO HIGHWAY EB,'0.9 MI E CHERRY AVE,1954,0,23,73.5,Concrete,Culvert (includes frame culverts),,"Major Collector, Rural",53219
      50C0034,,McFarland,Kern,'UP RR,'SHERWOOD AVE,'0.1 MI W SAN JUAN ST,1963,0,36,97.3,Prestressed concrete *,Slab,,"Minor Arterial, Urban",53223
      50C0035,,McFarland,Kern,'UP RR,'PERKINS AVE,'0.25 MI W BROWNING RD,1963,0,46,96.1,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",53224
      50C0055,,Shafter,Kern,'LERDO CANAL,'ZERKER RD,'SOUTH OF LERDO HWY,1964,0,12,78.2,Concrete,Culvert (includes frame culverts),,"Local, Rural",53233
      50C0097,,Tehachapi,Kern,'TEHACHAPI STORM DRAIN,'TEHACHAPI BLVD,'WEST OF DENNISON,1948,0,10,95.5,Concrete,Culvert (includes frame culverts),,"Collector, Urban",53266
      50C0108,,Shafter,Kern,'FRIANT-KERN CANAL,'LERDO HIGHWAY,'1.9 MI EAST OF CHERRY AV,1951,1989,22,73.6,Concrete,Tee Beam,,"Major Collector, Rural",53273
      50C0127,,Taft,Kern,'SANDY CREEK,'GARDNER FIELD ROA,'0.9 MI E DUVALL ST,1973,0,31,96.5,Concrete continuous,Slab,,"Major Collector, Rural",53289
      50C0128,,Taft,Kern,'SANDY CREEK,'6TH STREET,'SOUTH OF ASH STREET,1972,1994,8,61.5,Concrete continuous,Culvert (includes frame culverts),Structurally Deficient,"Minor Arterial, Rural",53290
      50C0193,,Taft,Kern,'SANDY CREEK,'AIRPORT ROAD,'0.65 MI NE OF HIGHWAY 11,1959,0,13,97,Steel,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",53335
      50C0197,,Taft,Kern,'SANDY CREEK,'4TH STREET,'SOUTH OF ASH STREET,1970,0,9,88.1,Concrete,Culvert (includes frame culverts),,"Collector, Urban",53338
      50C0198,,Taft,Kern,'SANDY CREEK,'EMMONS PARK DRIVE,'SOUTH OF ASH STREET,1970,0,8,78.4,Concrete,Culvert (includes frame culverts),,"Local, Urban",53339
      50C0199,,Taft,Kern,'SANDY CREEK,'N 10TH STREET,'0.22 MI S OF ASH STREET,1979,0,8,97.3,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Urban",53340
      50C0258,,Shafter,Kern,'FRIANT-KERN CANAL,'ZERKER RD,'2.2 MI N 7TH STANDARD RD,1950,1989,21,91.6,Concrete,Tee Beam,Structurally Deficient,"Minor Arterial, Urban",53392
      50C0342L,,Shafter,Kern,'LERDO (BEARDSLEY) CANAL,'7TH STANDARD ROAD,'WEST OF COFFEE ROAD,2010,0,23,92.1,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",53461
      50C0343L,,Shafter,Kern,'FRIANT-KERN CANAL,'7TH STANDARD ROAD,'WEST OF VERDUGO ROAD,2010,0,23,92.1,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",53463
      50C0344L,,Shafter,Kern,'CALLOWAY CANAL,'7TH STANDARD ROAD,'WEST OF CALLOWAY ROAD,2010,0,27,90.1,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",53465
      50C0345,,Shafter,Kern,'BNSF RY  SANTA FE WAY,'7TH STANDARD ROAD,'6 MI WEST OF SR99,2010,0,125,96.9,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",53467
      50C0390,,Lancaster,Los Angeles,'DWP PIPELINE,'170TH STREET WEST,'0.3 MI N OF ROSAMOND BLV,2012,0,22,99.9,Concrete,Slab,,"Local, Rural",53493
      50C0400,,Tehachapi,Kern,'WEST DRAINAGE CHANNEL,'CHALLENGER DRIVE,'0.5 MI E OF CAPITAL HILL,2014,0,10,99.5,Concrete continuous,Culvert (includes frame culverts),,"Collector, Urban",53502
      50C0401,,Tehachapi,Kern,'EAST DRAINAGE CHANNEL,'CHALLENGER DRIVE,'1.0 MI E OF CAPITAL HILL,2014,0,7,98.5,Concrete continuous,Culvert (includes frame culverts),,"Collector, Urban",53503
      50 0008,46,Wasco,Kern,'STATE ROUTE 46,'BNSF RY & AMTRAK,'06-KER-046-51.01-WAS,1930,,13,,Steel,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",625218
