NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      53 0382,110,Los Angeles,Los Angeles,'STATE ROUTE 110,'COLLEGE STREET,'07-LA-110-24.16-LA,1939,,58,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625663
      53 0540R,110,Los Angeles,Los Angeles,'STATE ROUTE 110 NB & RM,'STADIUM WAY,'07-LA-110-24.76R-LA,1942,,41,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625706
      53 0540R,110,Los Angeles,Los Angeles,'STATE ROUTE 110 NB & RM,'STADIUM WAY,'07-LA-110-24.76R-LA,1942,,41,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625707
      53 0583,101,Los Angeles,Los Angeles,'ROUTE 101,'FOURTH STREET,'07-LA-101-S0.62-LA,1947,,51,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625715
      53 0596,101,Los Angeles,Los Angeles,'ROUTE 101,'SEVENTH STREET,'07-LA-101-S0.02-LA,1948,,64,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625720
      53 0597,5,Los Angeles,Los Angeles,'I- 5  N5-N101  S101-S5,'BOYLE AVE,'07-LA-005-16.76-LA,1947,,180,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625721
      53 0602,5,Los Angeles,Los Angeles,'ROUTE 5,'LORENA STREET,'07-LA-005-15.65-LA,1947,,57,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625724
      53 0603,5,Los Angeles,Los Angeles,'ROUTE 5,'ESPERANZA STREET,'07-LA-005-15.33-LA,1948,,56,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625725
      53 0607,5,Commerce,Los Angeles,'ROUTE 5 & CONN,'EASTERN AVE,'07-LA-005-13.89-CMRC,1951,,85,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625727
      53 0607,5,Commerce,Los Angeles,'ROUTE 5 & CONN,'EASTERN AVE,'07-LA-005-13.89-CMRC,1951,,85,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625728
      53 0614,101,Los Angeles,Los Angeles,'ROUTE 101,'BENTON WAY,'07-LA-101-3.34-LA,1947,,45,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625733
      53 0616,101,Los Angeles,Los Angeles,'ROUTE 101,'ROSEMONT AVE,'07-LA-101-3.01-LA,1949,,47,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625734
      53 0617,2,Los Angeles,Los Angeles,'ROUTE 101,'ALVARADO ST SEP,'07-LA-101-2.86-LA,1948,,34,,Concrete,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",625735
      53 0618,101,Los Angeles,Los Angeles,'ROUTE 101,'BONNIE BRAE ST,'07-LA-101-2.71-LA,1949,,47,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625736
      53 0620,101,Los Angeles,Los Angeles,'ROUTE 101,'EAST EDGEWARE RD,'07-LA-101-2.07-LA,1949,,38,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625738
      53 0624,101,Los Angeles,Los Angeles,'ROUTE 101,'GRAND AVE,'07-LA-101-1.32-LA,1948,,56,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625750
      53 0625,101,Los Angeles,Los Angeles,'ROUTE 101,'HILL STREET,'07-LA-101-1.13-LA,1951,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625751
      53 0626,101,Los Angeles,Los Angeles,'ROUTE 101,'BROADWAY,'07-LA-101-1.08-LA,1950,,39,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625752
      53 0627,101,Los Angeles,Los Angeles,'ROUTE 101,'SPRING ST,'07-LA-101-1.01-LA,1949,,39,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625753
      53 0628,101,Los Angeles,Los Angeles,'ROUTE 101,'MAIN STREET,'07-LA-101-0.93-LA,1950,,43,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625754
      53 0629,101,Los Angeles,Los Angeles,'ROUTE 101,'LOS ANGELES ST,'07-LA-101-0.87-LA,1950,,39,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625755
      53 0643,10,Los Angeles,Los Angeles,'I 10  BUSWAY  METROLINK,'HERBERT AVENUE,'07-LA-010-20.22-LA,1972,,106,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625770
      53 0643,10,Los Angeles,Los Angeles,'I 10  BUSWAY  METROLINK,'HERBERT AVENUE,'07-LA-010-20.22-LA,1972,,106,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625771
      53 0643,10,Los Angeles,Los Angeles,'I 10  BUSWAY  METROLINK,'HERBERT AVENUE,'07-LA-010-20.22-LA,1972,,106,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625772
      53 0668,,West Covina,Los Angeles,'SUNSET AVE,'INTERSTATE 10,'07-LA-010-34.85-WCOV,1956,,22,,Concrete,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",625805
      53 0675,101,Los Angeles,Los Angeles,'ROUTE 101,'RTE 2 SANTA MONIC,'07-LA-002-12.73-LA,1950,,47,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625811
      53 0677,101,Los Angeles,Los Angeles,'ROUTE 101,'SUNSET BLVD,'07-LA-101-6.25-LA,1951,,51,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625813
      53 0678,101,Los Angeles,Los Angeles,'ROUTE 101,'HOLLYWOOD BLVD O,'07-LA-101-6.52-LA,1952,,59,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625814
      53 0684,110,Los Angeles,Los Angeles,'STATE ROUTE 110& RAMPS,'3RD ST,'07-LA-110-23.12-LA,1951,,79,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625820
      53 0684,110,Los Angeles,Los Angeles,'STATE ROUTE 110& RAMPS,'3RD ST,'07-LA-110-23.12-LA,1951,,79,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625821
      53 0684,110,Los Angeles,Los Angeles,'STATE ROUTE 110& RAMPS,'3RD ST,'07-LA-110-23.12-LA,1951,,79,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625822
      53 0684,110,Los Angeles,Los Angeles,'STATE ROUTE 110& RAMPS,'3RD ST,'07-LA-110-23.12-LA,1951,,79,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625823
      53 0685,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'5TH STREET,'07-LA-110-22.83-LA,1953,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625824
      53 0685,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'5TH STREET,'07-LA-110-22.83-LA,1953,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625825
      53 0685,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'5TH STREET,'07-LA-110-22.83-LA,1953,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625826
      53 0685,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'5TH STREET,'07-LA-110-22.83-LA,1953,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625827
      53 0685,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'5TH STREET,'07-LA-110-22.83-LA,1953,,107,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625828
      53 0722,101,Los Angeles,Los Angeles,'ROUTE 101,'FOUNTAIN AVE,'07-LA-101-5.94-LA,1951,,81,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625844
      53 0725,710,Long Beach,Los Angeles,'INTERSTATE 710,'STATE ROUTE 1,'07-LA-001-7.29-LBCH,1952,,49,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625846
      53 0725,710,Long Beach,Los Angeles,'INTERSTATE 710,'STATE ROUTE 1,'07-LA-001-7.29-LBCH,1952,,49,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625847
      53 0731,101,Los Angeles,Los Angeles,'ROUTE 101,'WILTON PLACE,'07-LA-101-6.15-LA,1951,,104,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625852
      53 0746,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'6TH STREET,'07-LA-110-22.80-LA,1953,,96,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625867
      53 0746,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'6TH STREET,'07-LA-110-22.80-LA,1953,,96,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625868
      53 0746,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'6TH STREET,'07-LA-110-22.80-LA,1953,,96,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625869
      53 0746,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'6TH STREET,'07-LA-110-22.80-LA,1953,,96,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625870
      53 0746,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'6TH STREET,'07-LA-110-22.80-LA,1953,,96,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625871
      53 0748,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMP,'WILSHIRE BLVD,'07-LA-110-22.67-LA,1952,,58,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625875
      53 0748,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMP,'WILSHIRE BLVD,'07-LA-110-22.67-LA,1952,,58,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625876
      53 0749,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'7TH STREET,'07-LA-110-22.56-LA,1953,,88,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625877
      53 0749,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'7TH STREET,'07-LA-110-22.56-LA,1953,,88,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625878
      53 0749,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'7TH STREET,'07-LA-110-22.56-LA,1953,,88,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625879
      53 0758,101,Los Angeles,Los Angeles,'S101-LOS ANGELES ST OFF,'MAIN STREET,'07-LA-101-0.95-LA,1950,,13,,Concrete,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625885
      53 0763,134,Pasadena,Los Angeles,'STATE ROUTE 134 & RAMPS,'ORANGE GROVE BLVD,'07-LA-134-R12.96-PAS,1971,,84,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625886
      53 0763,134,Pasadena,Los Angeles,'STATE ROUTE 134 & RAMPS,'ORANGE GROVE BLVD,'07-LA-134-R12.96-PAS,1971,,84,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625887
      53 0763,134,Pasadena,Los Angeles,'STATE ROUTE 134 & RAMPS,'ORANGE GROVE BLVD,'07-LA-134-R12.96-PAS,1971,,84,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625888
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625904
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625905
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625906
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625907
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625908
      53 0787,110,Los Angeles,Los Angeles,'STATE ROUTE 110 & RAMPS,'4TH ST EB RAMP,'07-LA-110-23.00-LA,1951,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625909
      53 0819,710,Long Beach,Los Angeles,'ROUTE 710,'LONG BEACH BLVD,'07-LA-710-12.01-LBCH,1974,,120,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625930
      53 0819,710,Long Beach,Los Angeles,'ROUTE 710,'LONG BEACH BLVD,'07-LA-710-12.01-LBCH,1974,,120,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625931
      53 0820,710,Long Beach,Los Angeles,'INTERSTATE 710,'ARTESIA BLVD,'07-LA-710-12.89-LBCH,1953,,80,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625932
      53 0820,710,Long Beach,Los Angeles,'INTERSTATE 710,'ARTESIA BLVD,'07-LA-710-12.89-LBCH,1953,,80,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625933
      53 0820,91,Long Beach,Los Angeles,'INTERSTATE 710,'ARTESIA BLVD,'07-LA-710-12.89-LBCH,1953,,80,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625934
      53 0822,710,Compton,Los Angeles,'ROUTE 710,'ALONDRA BLVD,'07-LA-710-13.95-COM,1958,,53,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625935
      53 0824,710,Paramount,Los Angeles,'ROUTE 710,'ROSECRANS AVE,'07-LA-710-14.98-PRM,1990,,126,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625937
      53 0824,710,Paramount,Los Angeles,'ROUTE 710,'ROSECRANS AVE,'07-LA-710-14.98-PRM,1990,,126,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625938
      53 0879,2,Los Angeles,Los Angeles,'ROUTE 2,'ESTARA AVE OC,'07-LA-002-16.38-LA,1976,,60,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625979
      53 0891,110,Los Angeles,Los Angeles,'INTERSTATE 110,'FIGUEROA ST & 23R,'07-LA-110-20.92-LA,1954,,87,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625987
      53 0893,110,Los Angeles,Los Angeles,'INTERSTATE 110,'ADAMS BLVD,'07-LA-110-20.71-LA,1956,,47,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625988
      53 0896,110,Los Angeles,Los Angeles,'INTERSTATE 110 & RAMP,'30TH STREET,'07-LA-110-20.46-LA,1996,,67,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625991
      53 0896,110,Los Angeles,Los Angeles,'INTERSTATE 110 & RAMP,'30TH STREET,'07-LA-110-20.46-LA,1996,,67,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625992
      53 0905,110,Los Angeles,Los Angeles,'INTERSTATE 110,'42ND ST,'07-LA-110-19.25-LA,1993,,73,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",625999
      53 0906,110,Los Angeles,Los Angeles,'INTERSTATE 110,'VERNON AVE,'07-LA-110-19.00-LA,1993,,64,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626000
      53 0908,110,Los Angeles,Los Angeles,'INTERSTATE 110,'49TH ST,'07-LA-110-18.62-LA,1994,,82,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626002
      53 0909,110,Los Angeles,Los Angeles,'INTERSTATE 110,'51ST ST,'07-LA-110-18.49-LA,1994,,65,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626003
      53 0910,110,Los Angeles,Los Angeles,'INTERSTATE 110,'54TH ST,'07-LA-110-18.27-LA,1993,,65,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626004
      53 0941,110,Los Angeles,Los Angeles,'ROUTE 110,'IMPERIAL HIGHWAY,'07-LA-110-13.97-LA,1989,,178,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",626022
      53 0941,110,Los Angeles,Los Angeles,'ROUTE 110,'IMPERIAL HIGHWAY,'07-LA-110-13.97-LA,1989,,178,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626023
      53 0941,110,Los Angeles,Los Angeles,'ROUTE 110,'IMPERIAL HIGHWAY,'07-LA-110-13.97-LA,1989,,178,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",626024
      53 0944,110,Los Angeles,Los Angeles,'ROUTE 110,'120TH STREET OC,'07-LA-110-13.47-LA,1988,,99,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626025
      53 0947,110,Los Angeles,Los Angeles,'I 110,'FIGUEROA STREET,'07-LA-110-13.20-LA,1988,,136,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626027
      53 0949,110,Los Angeles,Los Angeles,'INTERSTATE 110,'135TH STREET,'07-LA-110-12.39-LA,1993,,74,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626029
      53 0952,110,Los Angeles,Los Angeles,'INTERSTATE 110,'149TH ST,'07-LA-110-11.52-LA,1995,,69,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626030
      53 0963,110,Los Angeles,Los Angeles,'I-110,'CARSON STREET,'07-LA-110-7.02-LA,1962,,69,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626042
      53 0964,110,Los Angeles,Los Angeles,'INTERSTATE 110,'223RD STREET,'07-LA-110-6.52-LA,1962,,69,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626043
      53 0965,110,Los Angeles,Los Angeles,'ROUTE 110,'228TH ST OC,'07-LA-110-6.14-LA,1962,,68,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626044
      53 0981,110,Los Angeles,Los Angeles,'ROUTE 110,'117TH STREET OC,'07-LA-110-13.72-LA,1985,,133,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626055
      53 1010,110,Los Angeles,Los Angeles,'INTERSTATE 110,'FLOWER ST & LRT,'07-LA-110-20.76-LA,1956,,87,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626062
      53 1047,L054,Long Beach,Los Angeles,'DE FOREST AVENUE,'STATE ROUTE 1,'07-LA-001-7.08-LBCH,1957,,35,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",626079
      53 1068,5,Los Angeles,Los Angeles,'I-5,'GLENDALE BLVD,'07-LA-005-23.66-LA,1961,,113,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626091
      53 1094,110,Los Angeles,Los Angeles,'INTERSTATE 110,'52ND PLACE,'07-LA-110-18.39-LA,1993,,66,,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626106
      53 1114,5,Los Angeles,Los Angeles,'I 5,'SUNLAND BLVD,'07-LA-005-33.68-LA,1961,,72,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626121
      53 1118,5,Los Angeles,Los Angeles,'ROUTE 5,'LANKERSHIM BLVD,'07-LA-005-34.99-LA,1961,,70,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626122
      53 1120,5,Los Angeles,Los Angeles,'ROUTE 5,'SHELDON STREET,'07-LA-005-36.00-LA,1963,,72,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626124
      53 1151,710,Los Angeles,Los Angeles,'INTERSTATE 710 & CONNS,'HUMPHREYS AVE,'07-LA-710-24.22-LA,1960,,145,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",626148
      53 1151,60,Los Angeles,Los Angeles,'INTERSTATE 710 & CONNS,'HUMPHREYS AVE,'07-LA-710-24.22-LA,1960,,145,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626149
      53 1151,710,Los Angeles,Los Angeles,'INTERSTATE 710 & CONNS,'HUMPHREYS AVE,'07-LA-710-24.22-LA,1960,,145,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626150
      53 1152,710,Los Angeles,Los Angeles,'INTERSTATE 710,'THIRD STREET,'07-LA-710-24.47-LA,1960,,81,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",626151
      53 1152,710,Los Angeles,Los Angeles,'INTERSTATE 710,'THIRD STREET,'07-LA-710-24.47-LA,1960,,81,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626152
      53 1152,,Los Angeles,Los Angeles,'INTERSTATE 710,'THIRD STREET,'07-LA-710-24.47-LA,1960,,81,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",626153
      53 1198,405,Long Beach,Los Angeles,'INTERSTATE 405,'TEMPLE AVE,'07-LA-405-4.33-LBCH,1964,,60,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626190
      53 1199,405,Long Beach,Los Angeles,'INTERSTATE 405,'SPRING STREET,'07-LA-405-4.53-LBCH,1962,,105,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626191
      53 1202,405,Signal Hill,Los Angeles,'ROUTE 405,'ORANGE AVENUE,'07-LA-405-5.39-SIGH,1964,,97,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626198
      53 1202,405,Signal Hill,Los Angeles,'ROUTE 405,'ORANGE AVENUE,'07-LA-405-5.39-SIGH,1964,,97,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626199
      53 1202,405,Signal Hill,Los Angeles,'ROUTE 405,'ORANGE AVENUE,'07-LA-405-5.39-SIGH,1964,,97,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626200
      53 1203,405,Signal Hill,Los Angeles,'I 405 & RAMPS,'CALIFORNIA AVE,'07-LA-405-5.64-SIGH,1964,,95,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626201
      53 1203,405,Signal Hill,Los Angeles,'I 405 & RAMPS,'CALIFORNIA AVE,'07-LA-405-5.64-SIGH,1964,,95,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626202
      53 1203,405,Signal Hill,Los Angeles,'I 405 & RAMPS,'CALIFORNIA AVE,'07-LA-405-5.64-SIGH,1964,,95,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626203
      53 1204,405,Long Beach,Los Angeles,'ROUTE 405,'ATLANTIC AVENUE,'07-LA-405-6.08-LBCH,1963,,77,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626204
      53 1204,405,Long Beach,Los Angeles,'ROUTE 405,'ATLANTIC AVENUE,'07-LA-405-6.08-LBCH,1963,,77,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626205
      53 1204,405,Long Beach,Los Angeles,'ROUTE 405,'ATLANTIC AVENUE,'07-LA-405-6.08-LBCH,1963,,77,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626206
      53 1216,5,Los Angeles,Los Angeles,'ROUTE 5,'ROSCOE BLVD,'07-LA-005-33.28-LA,1960,,45,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626220
      53 1219,5,Los Angeles,Los Angeles,'ROUTE 5,'LAUREL CYN BLVD,'07-LA-005-35.94-LA,1963,,94,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626223
      53 1245,405,Inglewood,Los Angeles,'ROUTE 405,'HILLCREST BLVD,'07-LA-405-23.00-ING,1963,,101,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626256
      53 1245,405,Inglewood,Los Angeles,'ROUTE 405,'HILLCREST BLVD,'07-LA-405-23.00-ING,1963,,101,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626257
      53 1245,405,Inglewood,Los Angeles,'ROUTE 405,'HILLCREST BLVD,'07-LA-405-23.00-ING,1963,,101,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",626258
      53 1246,405,Inglewood,Los Angeles,'ROUTE 405 & MNCHSTR-N40,'MANCHESTER BLVD,'07-LA-405-23.36-ING,1961,,60,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626259
      53 1246,405,Inglewood,Los Angeles,'ROUTE 405 & MNCHSTR-N40,'MANCHESTER BLVD,'07-LA-405-23.36-ING,1961,,60,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",626260
