time_created,post
2017-04-19 00:23:56,"RT QuakesInCA ""1.6 magnitude #earthquake. 4 mi from Idyllwild, CA, #UnitedStates https://t.co/6ZawnoA9pG"""
2017-04-18 22:21:17,"RT QuakesInCA ""2.1 magnitude #earthquake. 5 mi from #Bishop, CA, #UnitedStates https://t.co/WraduGVYkk"""
2017-04-18 21:33:21,"RT QuakesInCA ""1.6 magnitude #earthquake. 5 mi from Bishop, CA, #UnitedStates https://t.co/iEcXl3Mdpq"""
2017-04-18 21:25:26,"RT QuakesInCA ""1.8 magnitude #earthquake. 18 mi from #RioDell, CA, #UnitedStates https://t.co/cxh76oHMgM"""
2017-04-18 20:55:09,"RT QuakesInCA ""1.7 magnitude #earthquake. 17 mi from #Shandon, CA, #UnitedStates https://t.co/dsZd0DgMhN"""
